clinic,reject_count,total_count,reject_rate
AM,1,12,0.08333333333333333
AJ,1,31,0.03225806451612903
AN,122,13115,0.009302325581395349
BV,147,46718,0.0031465388073119572
BL,442,36297,0.012177314929608508
BG,3711,177068,0.020958050014683625
BW,1963,24296,0.0807951926243003
AE,4,36,0.1111111111111111
AQ,7,127,0.05511811023622047
AS,1170,169415,0.006906118112327716
CF,821,20101,0.04084373911745684
BA,934,50080,0.018650159744408947
CA,1,116,0.008620689655172414
AI,270,18185,0.014847401704701675
AV,65,6243,0.010411661060387637
AF,15,5125,0.002926829268292683
AL,233,23600,0.009872881355932204
BR,38,30266,0.0012555342628692262
BK,185,24661,0.0075017233688820404
BN,572,29825,0.01917854149203688
AU,1207,21435,0.05630977373454631
AZ,142,12293,0.011551289351663548
BH,302,66780,0.004522312069481881
BP,1,8,0.125
CB,88,5885,0.014953271028037384
BZ,1979,108756,0.018196697193718046
BJ,6312,350493,0.018008918865712008
AY,8083,61211,0.13205142866478248
AA,1194,75651,0.01578300352936511
BO,32,736,0.043478260869565216
BM,18,154,0.11688311688311688
BS,4,421,0.009501187648456056
AH,531,29462,0.01802321634648021
BU,1544,16182,0.09541465826226672
BF,73,1591,0.0458830923947203
AR,1572,126196,0.012456813211195284
AX,107,10513,0.01017787501189004
AC,52,9311,0.005584792181290946
AD,511,34595,0.014770920653273597
BE,254,20073,0.012653813580431423
AO,405,10467,0.038693035253654334
BB,432,23095,0.01870534747780905
BI,147,8557,0.017178917845039148
AW,52,3398,0.015303119482048263
BX,141,9460,0.014904862579281185
BC,61,3773,0.016167505963424332
BQ,492,26619,0.018483038431195763
BT,1651,87534,0.018861242488632992
CD,860,24920,0.03451043338683788
BY,390,11497,0.03392189266765243
CE,339,888,0.3817567567567568
AB,556,32646,0.017031182993322302
AT,4,11,0.3636363636363637
AK,6851,35150,0.19490753911806544
CC,9,177,0.05084745762711865
BD,16,1436,0.011142061281337049
AG,5,86,0.05813953488372092
AP,70,5509,0.012706480304955529
