service_month,reject_count,total_count,reject_rate
2021-01-01,62745,3530566,0.01777193798388134
2021-02-01,55255,3363492,0.01642786722846375
2021-03-01,55395,3894685,0.014223229863262368
2021-04-01,51255,3793498,0.013511276399776673
2021-05-01,55844,3663548,0.015243146807411831
2021-06-01,55979,3865439,0.014481925597584131
2021-07-01,56648,3835519,0.01476931805056891
2021-08-01,51286,4067953,0.012607323634270109
2021-09-01,50204,4070978,0.012332171777887278
2021-10-01,47088,4101257,0.011481358032427618
2021-11-01,47866,3973674,0.012045779296439515
2021-12-01,51174,3966513,0.0129015082012841
2022-01-01,65820,2884762,0.02281644031639352
2022-02-01,47604,2535153,0.01877756490436672
2022-03-01,54953,2912777,0.01886618852043943
2022-04-01,107086,2724901,0.0392990424239266
2022-05-01,53958,2812735,0.019183463781692903
2022-06-01,58023,2750037,0.0210989888499682
2022-07-01,62385,2683802,0.023245008387354955
2022-08-01,81423,3009670,0.027053796595640053
2022-09-01,136628,2892573,0.04723407153423613
2022-10-01,64744,2853888,0.02268624416935773
2022-11-01,56140,2786266,0.02014883001120496
2022-12-01,46488,2670341,0.017409012556823266
2023-01-01,70138,2884656,0.024314164323232995
2023-02-01,62181,2806414,0.02215674522718316
2023-03-01,55794,3198535,0.017443610903116583
2023-04-01,46037,3017359,0.015257382366499974
2023-05-01,47987,3140521,0.015279948772831006
2023-06-01,40985,2906088,0.014103151728371609
2023-07-01,34809,2835984,0.012274046680094105
2023-08-01,47074,3181154,0.014797774644044269
2023-09-01,56978,2988608,0.01906506306614986
2023-10-01,126012,3270358,0.038531561376460924
2023-11-01,43467,3325514,0.013070761392073528
2023-12-01,34222,3065797,0.011162513369280484
2024-01-01,30500,2637920,0.01156213986777461
2024-02-01,29868,2486866,0.012010297297884165
2024-03-01,31577,2321212,0.013603669117685072
2024-04-01,40050,992566,0.040349961614643264
