rcvd_month,formtype,claim_volume
2021-03-01,A,1698457
2021-04-01,A,1541634
2021-05-01,A,1750203
2021-06-01,A,1728046
2021-07-01,A,1823237
2021-08-01,A,1973842
2021-09-01,A,1778776
2021-10-01,A,1880312
2021-11-01,A,1843366
2021-12-01,A,2150774
2022-01-01,A,1519810
2022-02-01,A,1927200
2022-03-01,A,2190219
2022-04-01,A,1870957
2022-05-01,A,2102189
2022-06-01,A,2399953
2022-07-01,A,1837979
2022-08-01,A,2268280
2022-09-01,A,2602416
2022-10-01,A,2437546
2022-11-01,A,2327339
2022-12-01,A,2607376
2023-01-01,A,2346585
2023-02-01,A,2093645
2023-03-01,A,2931429
2023-04-01,A,2323023
2023-05-01,A,2816655
2023-06-01,A,2536984
2023-07-01,A,2219377
2023-08-01,A,2706535
2023-09-01,A,2606747
2023-10-01,A,2243093
2023-11-01,A,3516781
2023-12-01,A,2144267
2024-01-01,A,3027834
2024-02-01,A,2380355
2024-03-01,A,1929350
2024-04-01,A,3226106
2021-03-01,B,246963
2021-04-01,B,209626
2021-05-01,B,251578
2021-06-01,B,289826
2021-07-01,B,254870
2021-08-01,B,278440
2021-09-01,B,281290
2021-10-01,B,309577
2021-11-01,B,263004
2021-12-01,B,338467
2022-01-01,B,263087
2022-02-01,B,271571
2022-03-01,B,301525
2022-04-01,B,273814
2022-05-01,B,297255
2022-06-01,B,315965
2022-07-01,B,269902
2022-08-01,B,343856
2022-09-01,B,370712
2022-10-01,B,362651
2022-11-01,B,275300
2022-12-01,B,358977
2023-01-01,B,314891
2023-02-01,B,287776
2023-03-01,B,415754
2023-04-01,B,333693
2023-05-01,B,380124
2023-06-01,B,363979
2023-07-01,B,338717
2023-08-01,B,402218
2023-09-01,B,412652
2023-10-01,B,364229
2023-11-01,B,579504
2023-12-01,B,273816
2024-01-01,B,403561
2024-02-01,B,309593
2024-03-01,B,332656
2024-04-01,B,450693
2021-03-01,C,1771309
2021-04-01,C,1622416
2021-05-01,C,1513168
2021-06-01,C,1641230
2021-07-01,C,1538814
2021-08-01,C,1600762
2021-09-01,C,1695679
2021-10-01,C,1651960
2021-11-01,C,1685863
2021-12-01,C,1641863
2022-01-01,C,778126
2022-02-01,C,176056
2022-03-01,C,161152
2022-04-01,C,189795
2022-05-01,C,175555
2022-06-01,C,171693
2022-07-01,C,168067
2022-08-01,C,161323
2022-09-01,C,180501
2022-10-01,C,167647
2022-11-01,C,173414
2022-12-01,C,221760
2023-01-01,C,124907
2023-02-01,C,133537
2023-03-01,C,258400
2023-04-01,C,173872
2023-05-01,C,166577
2023-06-01,C,196736
2023-07-01,C,223794
2023-08-01,C,196970
2023-09-01,C,216084
2023-10-01,C,249860
2023-11-01,C,607035
2023-12-01,C,562505
2024-01-01,C,216183
2024-02-01,C,244418
2024-03-01,C,240573
2024-04-01,C,242929
